target_id	cov_mean_sample_0314	cov_mean_sample_0322	cov_mean_sample_0328	cov_mean_sample_0403	cov_mean_sample_0416	cov_mean_sample_0419	cov_mean_sample_0423	cov_mean_sample_0507	cov_mean_sample_0516	cov_mean_sample_0521	cov_mean_sample_0531	cov_mean_sample_0604	cov_mean_sample_0613	cov_mean_sample_0619	cov_mean_sample_0628	cov_mean_sample_0705	cov_mean_sample_0709	cov_mean_sample_0717	cov_mean_sample_0802	cov_mean_sample_0806	cov_mean_sample_0813	cov_mean_sample_0820	cov_mean_sample_0823	cov_mean_sample_0828	cov_mean_sample_0903	cov_mean_sample_0910	cov_mean_sample_0920	cov_mean_sample_0924	cov_mean_sample_1001	cov_mean_sample_1004	cov_mean_sample_1015	cov_mean_sample_1022	cov_mean_sample_1028	cov_mean_sample_1105	cov_mean_sample_1123	cov_mean_sample_1128	cov_mean_sample_1220
OTU_11	8.012432	12.776413	0.000000	3.112201	7.371007	0.982801	0.000000	324.153317	5.405405	91.879115	1.510737	0.982801	5.055233	41.732236	23.767813	121.382310	37.971990	30.005651	62.370025	22.333366	112.015725	182.519902	215.275676	177.542506	88.966585	10.468845	187.835381	341.034889	197.863391	66.609828	167.666830	59.007371	50.613268	120.370516	0.000000	54.869779	19.656020
OTU_12	0.000000	1.181057	0.000000	0.000000	0.000000	0.000000		11.694988	0.000000	6.468734	0.620347	0.000000	1.985112	0.000000	2.977667	3.202551	3.917002	2.083861	0.000000	0.000000	4.022169	8.384864	41.703573	26.279206	10.255236	1.782213	6.851464	41.094243	6.783226	2.346040	13.761787	1.665806	7.767047	1.039821	0.000000	3.877613	3.708308
OTU_13	0.000000	2.142796	3.063000	0.480588	0.000000	17.273460		0.998905	6.234265	0.000000	21.265118	1.006412	10.533886	1.525872	0.497673	0.000000	1.895735	0.000000	0.000000	0.000000	0.000000	1.014692	6.979052	1.895735	0.947867	0.000000	0.000000	4.340005	4.189128	0.905915	2.495280	0.947867	0.000000	1.898005	0.000000	1.348123	2.533640
OTU_14	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		6.053632	0.000000	0.000000	2.471697	0.000000	0.000000	9.500945	0.000000	0.000000	3.926015	0.000000	0.321746	2.149990	2.033891	3.837159	0.603637	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.598139	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_15	0.250388	3.633396	0.000000	0.778049	1.397779	0.711258	0.982801	66.062899	0.556221	24.101966	0.571912	1.809002	2.413332	18.120393	7.081572	13.614152	9.408649	11.094840	17.807174	4.983980	20.888845	41.728059	83.162162	23.701572	15.830860	0.498516	43.607420	63.012776	57.253071	22.602703	43.596265	26.936314	7.929042	34.596462	0.491400	31.785504	8.643931
OTU_16	19.580647	437.826866	21.445423	52.689055	53.636816	58.926368		146.771642	36.740547	42.154925	42.364627	9.452736	117.702985	322.169652	91.987562	91.032836	20.976517	16.375871	61.307463	23.333333	71.910945	97.619403	161.472139	118.756219	60.153234	153.374129	331.229851	245.616418	277.038806	74.069652	228.549751	100.884577	17.677015	162.812935	4.477612	117.066169	308.490547
OTU_17	10.294882	107.071564	29.485924	8.908246	22.869242	108.667773		30.281896	60.663507	8.056872	235.672986	37.862370	43.084360	84.316114	25.526967	10.007820	5.358199	1.386403	2.843602	1.895735	13.826493	19.893507	52.039810	12.796209	8.530806	91.986730	68.118009	62.506635	63.586730	12.322275	19.779763	12.208531	11.298341	67.557820	4.691943	19.763649	51.774882
OTU_18	0.484232	10.573433	1.394104	0.000000	0.000000	3.361692		5.056070	1.030368	0.000000	0.996045	0.000000	0.592214	0.000000	0.000000	0.000000	5.970100	0.134743	2.797418	0.000000	2.414025	2.613965	3.619154	0.000000	0.000000	4.252821	3.476234	5.234179	1.532751	2.827333	2.445393	1.492537	0.829189	5.806070	0.000000	0.689816	0.401986
OTU_19	0.662696	0.000000	0.000000	0.000000	0.000000	0.000000		5.893975	0.000000	0.000000	2.965970	0.000000	0.496632	8.593481	4.847768	4.470435	0.000000	0.000000	3.356109	0.000000	1.765975	3.677812	0.000000	2.469136	0.987654	0.000000	0.557170	0.520978	0.000000	0.000000	0.493827	0.000000	1.610262	0.000000	0.000000	0.493827	0.987654
OTU_20	11.608685	37.250521	9.429280	3.473945	49.579653	9.741687		4.098705	5.587543	0.000000	3.722084	4.411360	4.962779	3.969335	4.342432	3.843062	1.678710	3.473102	1.146303	0.000000	2.703762	1.934968	27.430273	0.000000	0.000000	30.700496	17.704218	40.950074	13.884119	4.105573	10.232308	1.336308	0.000000	8.318561	0.992556	3.810124	26.102680
OTU_21	0.625971	4.789681	0.519612	0.000000	0.646865	2.845022	0.491400	42.153317	0.736462	28.289140	6.237248	0.000000	18.236560	64.946437	25.010418	19.807371	36.319754	23.639803	16.398477	5.209337	18.634201	26.415774	22.860049	7.191007	2.187061	0.611774	25.298919	30.579853	12.919656	4.870585	10.931204	5.994595	8.444619	2.716865	0.000000	2.841985	3.233916
OTU_22	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_23	0.000000	3.484553	0.000000	0.000000	0.000000	0.000000	0.000000	0.004576	0.000000	0.000000	0.468384	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.004600	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_24	0.000000	22.432559	0.000000	0.855626	7.885308	7.910758		4.685171	0.414691	0.118483	2.845654	2.237190	4.777251	62.109479	5.351659	0.000000	7.266825	0.993905	3.732227	0.947867	5.786493	1.719758	4.275502	0.000000	0.000000	1.575630	3.617403	4.990427	9.318341	0.988403	5.295071	1.466232	0.000000	0.000000	0.513427	15.267962	22.224408
OTU_25	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.326980	0.821871	0.944649	0.717059	0.000000	0.000000	0.000000	0.000000
OTU_26	1.413834	1.114867	1.079687	0.751389	0.000026	0.000000		35.714645	0.000000	3.791469	0.000000	0.000000	0.947867	0.487782	0.000000	6.671848	0.000000	3.623611	6.635071	0.947867	15.477251	22.645782	15.696256	0.000000	0.000000	2.446133	6.942654	30.011280	11.246540	5.897583	5.623033	3.421209	1.706161	13.050569	0.000000	3.363645	10.345261
OTU_27	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	3.001697	0.507509	0.620347	0.000000	1.488834	0.992556	0.620347	1.714258	1.599136	0.000000	0.000000	1.760104	0.000000	0.000000	6.849628	0.000000	0.000000	2.882511	2.263801	5.952010	1.303588	0.000000	5.683623	0.506734	0.534923	1.559732	0.000000	2.481390	1.063251
OTU_28	1.865672	7.357114	2.012647	0.000000	3.837955	2.557846		0.000000	4.975124	1.492537	2.024119	0.000000	1.795433	2.104771	1.545960	0.000000	0.000000	0.000000	0.000000	0.000000	0.497512	0.000000	5.372736	0.000000	0.000000	14.872886	0.000000	0.000000	1.776557	0.000000	0.000000	0.000000	0.497512	2.381816	0.000000	0.585721	3.285174
OTU_29	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		10.072836	0.000000	4.568652	0.000000	0.000000	1.127214	2.636741	0.000000	1.614652	0.000000	0.000000	0.000000	0.000000	3.550652	7.225174	9.187363	1.990050	1.492537	0.000000	1.269139	3.755303	3.064562	0.504796	0.663776	0.000000	2.985075	0.000000	0.000000	0.000000	0.000000
OTU_30	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_31	0.000000	0.000000	0.000000	0.000000	0.000000	0.695493		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.560090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_32	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.122770	0.000000	0.992556	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.725295	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.062893	0.000000	0.000000
OTU_33	0.000000	16.630711	0.000000	0.855626	1.971327	4.746445		0.000000	0.414691	0.118483	0.000000	0.000000	0.000000	0.000000	3.058081	0.000000	0.000133	0.993905	0.000000	0.000000	0.000000	1.719758	8.550995	0.000000	0.000000	1.575630	0.000000	6.238009	1.553057	0.000000	1.765019	5.864929	0.592417	9.248815	0.513427	1.387995	14.487820
OTU_34	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000003	0.000000	0.000000	0.000000	0.000000	0.326980	0.000000	0.000000	0.096646	0.000000	0.000000	0.000000	0.000000
OTU_35	0.485270	9.503981	8.622986	4.393341	2.699479	5.255972	1.895735	56.243128	0.000000	6.142417	2.371957	2.491630	4.958246	0.000000	0.980246	4.289057	0.000000	4.480834	3.317536	0.947867	8.350664	37.145024	3.381114	1.649758	1.658768	13.692559	6.079573	6.762417	13.028863	6.290047	3.008725	0.658573	4.197550	10.196588	1.421801	0.000000	18.164550
OTU_36	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.990050	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_37	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_38	0.000000	4.235185	0.000000	0.000000	0.000000	1.269607	0.473934	34.019953	2.780479	0.000000	13.722749	0.156187	10.900474	6.239526	11.848341	17.632796	8.056872	2.843597	2.843602	0.101035	10.108389	22.272133	29.718436	19.905213	6.635071	3.172810	33.093886	40.386256	40.895640	14.393128	24.084218	8.952085	2.843602	17.672796	0.473934	15.768104	19.184455
OTU_39	0.000000	0.491400	1.965602	0.000000	0.000000	0.000000		0.000000	0.000000	0.491400	0.000000	0.000000	0.000000	0.000000	0.001543	0.000000	0.000000	0.000000	0.000000	0.000000	0.491400	0.000000	1.965602	6.175479	3.439803	1.309052	1.825499	1.965602	1.474201	0.000000	0.491400	0.982801	0.000000	0.000000	0.024131	2.457002	0.163800
OTU_40	0.950119	4.275534	0.000000	0.000000	0.000000	3.802917	0.000000	36.484561	2.850356	3.800475	14.265606	2.375297	10.298052	36.998147	11.036675	10.031734	0.950119	0.475059	0.475059	0.000000	5.700713	27.470831	30.330451	6.650831	3.800475	2.608713	6.737340	45.409549	14.658955	10.029976	13.118480	3.800475	10.165606	14.286698	0.000000	4.275534	10.167363
OTU_41	0.000000	8.262417	2.739460	4.507227	6.505877	5.994360	0.000000	5.764597	11.542891	0.000000	4.539645	7.190758	6.610995	0.000000	4.943839	3.335934	3.033175	0.000000	0.000000	0.118483	0.000000	2.161716	15.326256	11.883223	3.317536	3.329270	10.719052	32.117393	13.701327	3.753848	8.500995	4.350597	0.000000	5.545545	0.000000	4.090076	15.705166
OTU_42	0.169090	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.255168	0.000000	0.000000	3.031915	0.000000	0.000000	2.033313	0.000000	1.694204	0.000000	1.016607	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.503388	0.000000	0.000000	0.254564	0.000000	0.000000	0.000000	0.000000	0.527095
OTU_43	9.548899	59.194379	2.200735	6.126511	20.174614	24.526885		64.357845	28.176487	4.925574	55.592506	13.227026	26.420937	83.468852	49.180328	12.705855	15.813958	11.135691	20.659953	5.828337	12.943232	43.288431	38.254426	7.962529	5.464496	16.163185	55.708665	93.217799	59.912881	20.379485	43.853349	18.969180	12.264918	49.952225	3.619405	23.358220	51.467916
OTU_44	0.000000	0.000000	0.000132	0.000000	0.000000	0.000000		4.688243	0.000000	0.000000	0.000000	0.000000	0.000000	3.075936	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	17.193416	2.941074	23.318416	1.685891	0.968386	0.000000	6.128614	19.001337	7.003416	0.775218	11.679950	1.565743	6.450248	0.758045	0.000000	0.000000	0.000000
OTU_45	0.000000	3.301498	0.838583	0.004647	0.629905	0.935673		0.965261	7.180379	0.000000	0.000000	0.000000	0.473934	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.499265	0.481825	7.701185	2.369668	1.421801	3.476199	5.919384	15.738104	7.526303	4.423185	4.600673	4.887441	0.000000	6.161137	0.513427	4.537578	9.673318
OTU_46	0.496278	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.724189	0.000000	1.591474	0.000000	0.000000	0.000000	0.000000	0.000000	0.519563	0.555613	0.000000	0.000000	0.000000	0.000000	1.203424	10.245012	0.000000	0.000000	2.335424	1.678859	2.318581	1.999583	0.000000	2.684993	0.000000	0.000000	0.000000	0.000000	1.061400	1.012963
OTU_47	13.738548	88.304918	5.800703	24.521124	63.989696	15.125714		125.917564	33.723653	13.378407	16.499906	7.962529	32.708712	271.044028	74.374239	65.114754	5.620609	6.582717	23.839532	12.884824	36.732927	76.451522	85.187822	64.637002	29.039813	63.237002	272.176581	218.432787	234.953162	57.925995	130.543794	71.082904	10.498876	142.355972	2.009391	103.888056	116.786885
OTU_48	0.000000	0.000000	0.469484	0.000000	0.000000	0.000000	0.000000	0.472192	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.944113	0.469484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.710033	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.475394
OTU_49	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		1.634395	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.071916	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.500706	0.000000	0.000000	0.000000	0.000000
OTU_50	63.819307	196.928218	39.422327	89.603960	27.722772	42.574257		17.868911	69.794059	0.697683	17.821782	6.435644	1.991490	17.326733	16.831683	12.803366	10.053317	3.960396	3.068282	10.055297	10.260743	10.975050	12.043366	2.970297	1.856436	329.439109	74.005941	30.114802	57.855446	16.028713	64.137624	25.691386	4.522317	34.206782	7.687822	140.050000	117.290594
OTU_51	5.369274	33.287260	6.548806	2.751621	4.909836	29.614239		0.000000	8.861405	0.000000	23.556674	10.811148	18.226042	60.380796	16.217799	2.348230	0.000000	0.000000	0.000000	0.000000	0.545185	0.000000	1.618070	0.000000	0.000000	7.813349	5.705293	4.396230	12.057283	1.024248	1.598141	1.722000	0.000000	7.647728	0.936768	1.128660	5.977377
OTU_52	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.469484	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	2.353080	0.000000	0.000000	0.608812
OTU_53	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		34.083175	0.000000	6.845687	0.000000	0.000000	0.000000	0.484891	2.561427	0.000000	0.000000	0.000000	4.170616	4.691943	16.113744	20.554313	3.000796	0.473934	0.947867	0.000000	9.001564	22.002417	9.479810	0.947867	3.178142	2.843602	3.791469	0.546848	0.000000	1.981905	1.450848
OTU_54	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.166833	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.082736	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.248756	0.000000
OTU_55	0.000000	0.000000	0.000000	0.905758	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.118483	1.516417	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.829616	0.000000	0.000000	8.376777	2.278588	1.243085	1.824967	0.000000	0.797645	4.622242
OTU_56	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.780163	0.765153	0.000000	0.734163	0.000000	0.000000	0.000000	1.930208	2.937866	1.334728	0.000000	1.947015	0.762084	0.000000	0.000000	0.099010	0.564124	0.000000
OTU_57	0.500776	7.208452	0.000000	0.518703	0.000000	0.000000	0.982801	0.000000	3.808899	0.000000	0.503577	0.000000	1.245243	2.738821	4.890826	0.545808	0.000000	1.170629	0.000000	0.000000	0.000000	0.000000	6.497199	0.549572	1.610663	1.495548	14.091597	9.541671	3.450413	0.619912	2.835160	2.254486	0.565479	0.000000	0.491400	0.000000	3.982157
OTU_58	0.000000	0.000000	0.000000	0.000000	0.000000	0.720384	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.728806	0.865719	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.844567	0.000000	0.101668	0.000000	0.000000	0.000000	0.000000
OTU_59	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.864866	0.000000	0.768896	0.000000	0.000000	0.000000	0.000000	1.132821	0.000000	0.000000	0.819184
OTU_60	0.000000	0.563957	0.000000	0.000000	0.000000	0.000000	0.000000	6.161137	0.000000	4.468517	0.000000	0.000000	0.000000	0.000000	0.000000	14.296872	0.000000	0.000000	0.000000	0.000000	0.986351	4.265403	21.291848	6.635071	3.317536	1.136493	5.213270	49.449763	18.639384	2.843602	8.530806	2.843602	4.265403	10.426540	0.000000	3.317536	2.369668
OTU_61	0.837403	3.509758	0.000000	0.855626	4.351014	9.694882		0.585645	1.658768	0.118483	0.000000	0.000000	0.000000	2.074227	0.000000	0.000000	3.633493	0.000000	0.266588	0.000000	0.723313	0.000000	0.000000	0.000000	0.000000	0.000000	0.602900	0.000000	0.000000	0.000000	0.000000	0.000000	1.777251	0.000000	0.000000	0.000000	0.000000
OTU_62	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_63	0.000000	0.550137	0.000000	0.000000	0.000000	1.015474		1.431972	0.000000	0.000000	1.079512	0.000000	1.895735	12.643460	0.998156	0.000000	6.161137	0.000000	1.421801	2.334284	0.913365	1.055152	3.805678	0.315956	0.000000	0.000000	0.000000	2.125081	2.222716	0.000000	0.000000	0.873142	0.947867	0.000000	0.000000	1.092090	0.000000
OTU_64	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_65	0.000000	0.497886	0.000000	0.000000	0.000000	1.991403	0.000000	1.058269	0.000002	0.000000	1.659851	0.497512	0.552478	2.163055	1.163721	0.000000	0.000000	0.633199	0.746269	0.000000	3.727075	0.559701	0.591856	0.000000	0.000000	0.000000	0.562716	0.549682	0.620592	0.000000	0.676856	0.521687	0.995025	0.000000	0.000000	0.000000	0.000000
OTU_66	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	1.300920	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_67	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000		0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.362067	0.000000	0.000000	0.000000	0.587229	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.168519	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000	0.000000
OTU_68	4.265403	62.062559	20.285545	8.162938	15.639810	62.744076		35.565071	29.770521	2.632967	12.808578	8.056872	8.530806	62.428910	16.430237	2.859374	0.947867	0.000000	1.042654	0.521327	5.911137	24.469384	6.219668	5.213270	1.421801	69.709953	16.908436	19.063886	21.077583	5.778341	8.475071	1.895735	3.249829	34.998199	3.317536	8.918578	44.951848
OTU_69	2.501435	19.023882	2.602344	7.862408	7.179459	10.552776	0.491400	0.510025	2.777479	0.748010	0.000000	0.000000	0.518442	0.000000	0.000000	0.491400	0.000000	0.000000	0.000000	0.000000	0.000000	0.544280	4.497651	0.000000	0.000000	6.925995	2.652747	4.250388	0.636098	0.000000	2.539607	0.245700	0.000000	0.000000	0.000000	1.368668	9.408010
